Date;Description;Montant
30/12/2023;VIR SEPA EFOR LYON;2 229,22
15/12/2023;VIR SEPA EFOR LYON;348
30/11/2023;VIR SEPA EFOR LYON;2 229,22
15/11/2023;VIR SEPA EFOR LYON;538,1
30/10/2023;VIR SEPA EFOR LYON;2 195,02
16/10/2023;VIR SEPA EFOR LYON;348
28/09/2023;VIR SEPA EFOR LYON;2 229,22
14/09/2023;VIR SEPA EFOR LYON;348
29/08/2023;VIR SEPA EFOR LYON;2 229,22
14/08/2023;VIR SEPA EFOR LYON;538,1
28/07/2023;VIR SEPA EFOR LYON;2 195,02
18/07/2023;VIR SEPA EFOR LYON;348
28/06/2023;VIR SEPA EFOR LYON;2 227,81
20/06/2023;VIR SEPA EFOR LYON;348
30/05/2023;VIR SEPA EFOR LYON;2 227,81
15/05/2023;VIR SEPA EFOR LYON;393,77
28/04/2023;VIR SEPA EFOR LYON;2 227,81
18/04/2023;VIR SEPA EFOR LYON;538,1
30/03/2023;VIR SEPA EFOR LYON;2 065,56
28/03/2023;VIR SEPA ION BEAM APPLICATIONS SA;5 444,09
24/02/2023;VIR SEPA ION BEAM APPLICATIONS SA;2 535,44
26/01/2023;VIR SEPA ION BEAM APPLICATIONS SA;2 480,99
27/12/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 211,09
13/12/2022;VIR SEPA ION BEAM APPLICATIONS SA;1 363,29
25/11/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 252,46
26/10/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 250,27
27/09/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 249,19
26/08/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 252,45
26/07/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 119,29
27/06/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 160,83
25/05/2022;VIR SEPA ION BEAM APPLICATIONS SA;3 700,38
27/04/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 167,37
29/03/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 143,15
24/02/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 143,93
27/01/2022;VIR SEPA ION BEAM APPLICATIONS SA;2 145,33
29/12/2021;VIR SEPA ION BEAM APPLICATIONS SA;2 096,94
14/12/2021;VIR SEPA ION BEAM APPLICATIONS SA;1 475,93
26/11/2021;VIR SEPA ION BEAM APPLICATIONS SA;2 079,56
